Disease,Symptoms
Esophageal Cancer,"regurgitation, weakness, persistent cough, hiccups, hoarseness"
Esophageal Cancer,"hiccups, persistent cough, weakness, hoarseness, regurgitation"
Esophageal Cancer,"weakness, hiccups, persistent cough, hoarseness, regurgitation"
Esophageal Cancer,"regurgitation, hiccups, persistent cough, weakness, hoarseness"
Esophageal Cancer,"hiccups, persistent cough, hoarseness, regurgitation, weakness"
Esophageal Cancer,"persistent cough, regurgitation, hoarseness, weakness, hiccups"
Esophageal Cancer,"hiccups, regurgitation, persistent cough, hoarseness, weakness"
Esophageal Cancer,"hiccups, regurgitation, weakness, hoarseness, persistent cough"
Fatty Liver Disease,"cough, weakness, chronic fatigue, enlarged liver, jaundice"
Fatty Liver Disease,"chronic fatigue, cough, jaundice, enlarged liver, weakness"
Fatty Liver Disease,"weakness, enlarged liver, jaundice, chronic fatigue, cough"
Fatty Liver Disease,"enlarged liver, weakness, chronic fatigue, cough, jaundice"
Fatty Liver Disease,"enlarged liver, jaundice, chronic fatigue, cough, weakness"
Fatty Liver Disease,"chronic fatigue, jaundice, cough, weakness, enlarged liver"
Fatty Liver Disease,"cough, jaundice, weakness, chronic fatigue, enlarged liver"
Fatty Liver Disease,"weakness, cough, jaundice, chronic fatigue, enlarged liver"
Fatty Liver Disease,"enlarged liver, jaundice, chronic fatigue, weakness, cough"
Fatty Liver Disease,"jaundice, enlarged liver, cough, chronic fatigue, weakness"
Fibromyalgia,"widespread body pain, sleep disturbances, depression, headache, fatigue"
Fibromyalgia,"widespread body pain, headache, sleep disturbances, fatigue, depression"
Fibromyalgia,"widespread body pain, fatigue, headache, depression, sleep disturbances"
Fibromyalgia,"fatigue, headache, widespread body pain, depression, sleep disturbances"
Fibromyalgia,"depression, widespread body pain, fatigue, sleep disturbances, headache"
Fibromyalgia,"headache, widespread body pain, fatigue, sleep disturbances, depression"
Fibromyalgia,"fatigue, widespread body pain, depression, sleep disturbances, headache"
Fibromyalgia,"fatigue, headache, depression, widespread body pain, sleep disturbances"
Fibromyalgia,"sleep disturbances, fatigue, headache, widespread body pain, depression"
Fibromyalgia,"headache, sleep disturbances, depression, fatigue, widespread body pain"
Filariasis,"visual disturbances, chest pain, cough, shortness of breath, fatigue"
Filariasis,"chest pain, visual disturbances, shortness of breath, cough, fatigue"
Filariasis,"cough, visual disturbances, fatigue, shortness of breath, chest pain"
Filariasis,"fatigue, visual disturbances, chest pain, shortness of breath, cough"
Filariasis,"shortness of breath, cough, visual disturbances, fatigue, chest pain"
Filariasis,"cough, shortness of breath, chest pain, fatigue, visual disturbances"
Filariasis,"shortness of breath, chest pain, fatigue, cough, visual disturbances"
Filariasis,"cough, fatigue, visual disturbances, chest pain, shortness of breath"
Filariasis,"cough, visual disturbances, chest pain, shortness of breath, fatigue"
Filariasis,"chest pain, cough, visual disturbances, fatigue, shortness of breath"
Fungal infection,"dischromic  patches, skin rash, itching, nodal skin eruptions, peeling skin"
Fungal infection,"itching, nodal skin eruptions, skin rash, peeling skin, dischromic  patches"
Fungal infection,"skin rash, nodal skin eruptions, itching, peeling skin, dischromic  patches"
Fungal infection,"skin rash, nodal skin eruptions, itching, dischromic  patches, peeling skin"
Fungal infection,"nodal skin eruptions, dischromic  patches, skin rash, peeling skin, itching"
Fungal infection,"itching, skin rash, peeling skin, nodal skin eruptions, dischromic  patches"
Fungal infection,"skin rash, peeling skin, itching, nodal skin eruptions, dischromic  patches"
Fungal infection,"skin rash, peeling skin, nodal skin eruptions, dischromic  patches, itching"
Fungal infection,"peeling skin, itching, skin rash, nodal skin eruptions, dischromic  patches"
Fungal infection,"skin rash, itching, peeling skin, nodal skin eruptions, dischromic  patches"
GERD,"ulcers on tongue, vomiting, cough, acidity, stomach pain"
GERD,"acidity, stomach pain, vomiting, cough, ulcers on tongue"
GERD,"acidity, ulcers on tongue, vomiting, stomach pain, cough"
GERD,"ulcers on tongue, stomach pain, acidity, cough, vomiting"
GERD,"vomiting, stomach pain, ulcers on tongue, cough, acidity"
GERD,"stomach pain, cough, acidity, vomiting, ulcers on tongue"
GERD,"ulcers on tongue, acidity, stomach pain, vomiting, cough"
GERD,"vomiting, ulcers on tongue, acidity, cough, stomach pain"
GERD,"cough, stomach pain, vomiting, ulcers on tongue, acidity"
Gallbladder Disease,"weakness, severe abdominal pain, jaundice, right shoulder pain, indigestion"
Gallbladder Disease,"jaundice, right shoulder pain, severe abdominal pain, indigestion, weakness"
Gallbladder Disease,"jaundice, weakness, indigestion, severe abdominal pain, right shoulder pain"
Gallbladder Disease,"right shoulder pain, indigestion, jaundice, weakness, severe abdominal pain"
Gallbladder Disease,"right shoulder pain, severe abdominal pain, weakness, indigestion, jaundice"
Gallbladder Disease,"weakness, right shoulder pain, indigestion, severe abdominal pain, jaundice"
Gallbladder Disease,"jaundice, indigestion, severe abdominal pain, right shoulder pain, weakness"
Gallbladder Disease,"indigestion, jaundice, right shoulder pain, severe abdominal pain, weakness"
Gallbladder Disease,"jaundice, severe abdominal pain, indigestion, weakness, right shoulder pain"
Gallbladder Disease,"severe abdominal pain, right shoulder pain, weakness, indigestion, jaundice"
Gallstones,"abdominal pain, nausea, vomiting, jaundice, indigestion"
Gallstones,"vomiting, indigestion, nausea, abdominal pain, jaundice"
Gallstones,"indigestion, jaundice, nausea, abdominal pain, vomiting"
Gallstones,"abdominal pain, indigestion, vomiting, jaundice, nausea"
Gallstones,"nausea, abdominal pain, jaundice, indigestion, vomiting"
Gallstones,"nausea, abdominal pain, jaundice, vomiting, indigestion"
Gallstones,"jaundice, vomiting, abdominal pain, nausea, indigestion"
Gallstones,"nausea, indigestion, vomiting, abdominal pain, jaundice"
Gallstones,"jaundice, vomiting, indigestion, nausea, abdominal pain"
Gallstones,"vomiting, nausea, abdominal pain, jaundice, indigestion"
Gastric Cancer,"bloating after eating, stomach pain, nausea, black stool, fatigue"
Gastric Cancer,"black stool, nausea, fatigue, stomach pain, bloating after eating"
Gastric Cancer,"stomach pain, nausea, bloating after eating, black stool, fatigue"
Gastric Cancer,"nausea, fatigue, black stool, bloating after eating, stomach pain"
Gastric Cancer,"nausea, bloating after eating, black stool, stomach pain, fatigue"
Gastric Cancer,"nausea, fatigue, stomach pain, bloating after eating, black stool"
Gastric Cancer,"stomach pain, fatigue, bloating after eating, nausea, black stool"
Gastric Cancer,"bloating after eating, stomach pain, fatigue, black stool, nausea"
Gastric Cancer,"bloating after eating, black stool, fatigue, stomach pain, nausea"
Gastric Cancer,"stomach pain, black stool, bloating after eating, fatigue, nausea"
Gastritis,"dry mouth, weakness, hiccups, chest discomfort, acid reflux"
Gastritis,"acid reflux, dry mouth, weakness, hiccups, chest discomfort"
Gastritis,"dry mouth, chest discomfort, hiccups, weakness, acid reflux"
Gastritis,"acid reflux, hiccups, chest discomfort, dry mouth, weakness"
Gastritis,"chest discomfort, weakness, acid reflux, dry mouth, hiccups"
Gastritis,"weakness, acid reflux, chest discomfort, dry mouth, hiccups"
Gastritis,"acid reflux, dry mouth, chest discomfort, weakness, hiccups"
Gastritis,"hiccups, dry mouth, weakness, chest discomfort, acid reflux"
Gastritis,"dry mouth, hiccups, weakness, acid reflux, chest discomfort"
Gastritis,"chest discomfort, hiccups, acid reflux, weakness, dry mouth"
Gastroenteritis,"dry mouth, dehydration, weakness, watery diarrhea, diarrhoea"
Gastroenteritis,"weakness, diarrhoea, dry mouth, watery diarrhea, dehydration"
Gastroenteritis,"dehydration, watery diarrhea, diarrhoea, weakness, dry mouth"
Gastroenteritis,"dehydration, dry mouth, watery diarrhea, diarrhoea, weakness"
Gastroenteritis,"diarrhoea, dehydration, dry mouth, watery diarrhea, weakness"
Gastroenteritis,"weakness, diarrhoea, watery diarrhea, dry mouth, dehydration"
Gastroenteritis,"watery diarrhea, diarrhoea, weakness, dehydration, dry mouth"
Gastroenteritis,"watery diarrhea, weakness, dry mouth, dehydration, diarrhoea"
Gastroenteritis,"dry mouth, weakness, diarrhoea, dehydration, watery diarrhea"
Gastroenteritis,"watery diarrhea, weakness, dehydration, dry mouth, diarrhoea"
Giardiasis,"stomach pain, dehydration, low blood pressure, severe diarrhea, vomiting"
Giardiasis,"dehydration, stomach pain, severe diarrhea, vomiting, low blood pressure"
Giardiasis,"dehydration, severe diarrhea, low blood pressure, vomiting, stomach pain"
Giardiasis,"severe diarrhea, stomach pain, dehydration, low blood pressure, vomiting"
Giardiasis,"dehydration, low blood pressure, stomach pain, severe diarrhea, vomiting"
Giardiasis,"low blood pressure, stomach pain, vomiting, severe diarrhea, dehydration"
Giardiasis,"low blood pressure, dehydration, vomiting, severe diarrhea, stomach pain"
Giardiasis,"low blood pressure, dehydration, vomiting, stomach pain, severe diarrhea"
Giardiasis,"severe diarrhea, dehydration, stomach pain, vomiting, low blood pressure"
Giardiasis,"severe diarrhea, vomiting, stomach pain, dehydration, low blood pressure"
Glaucoma,"night blindness, cough, eye pain, eye fatigue, difficulty adjusting to darkness"
Glaucoma,"eye pain, difficulty adjusting to darkness, eye fatigue, night blindness, cough"
Glaucoma,"eye fatigue, difficulty adjusting to darkness, eye pain, night blindness, cough"
Glaucoma,"night blindness, difficulty adjusting to darkness, eye fatigue, eye pain, cough"
Glaucoma,"eye pain, night blindness, difficulty adjusting to darkness, cough, eye fatigue"
Glaucoma,"eye fatigue, cough, difficulty adjusting to darkness, eye pain, night blindness"
Glaucoma,"eye fatigue, cough, night blindness, difficulty adjusting to darkness, eye pain"
Glaucoma,"difficulty adjusting to darkness, eye fatigue, eye pain, cough, night blindness"
Glaucoma,"difficulty adjusting to darkness, cough, night blindness, eye fatigue, eye pain"
Glaucoma,"cough, eye fatigue, night blindness, difficulty adjusting to darkness, eye pain"
Gonorrhea,"burning urination, unusual genital discharge, pelvic pain, painful intercourse, vomiting"
Gonorrhea,"unusual genital discharge, burning urination, vomiting, pelvic pain, painful intercourse"
Gonorrhea,"pelvic pain, unusual genital discharge, burning urination, vomiting, painful intercourse"
Gonorrhea,"painful intercourse, burning urination, unusual genital discharge, pelvic pain, vomiting"
Gonorrhea,"painful intercourse, unusual genital discharge, pelvic pain, vomiting, burning urination"
Gonorrhea,"pelvic pain, unusual genital discharge, burning urination, painful intercourse, vomiting"
Gonorrhea,"vomiting, painful intercourse, unusual genital discharge, pelvic pain, burning urination"
Gonorrhea,"burning urination, vomiting, pelvic pain, painful intercourse, unusual genital discharge"
Gonorrhea,"painful intercourse, vomiting, unusual genital discharge, pelvic pain, burning urination"
Gonorrhea,"pelvic pain, vomiting, painful intercourse, unusual genital discharge, burning urination"
Gout,"joint swelling, intense pain, redness, warmth in affected joint, headache"
Gout,"redness, joint swelling, headache, intense pain, warmth in affected joint"
Gout,"warmth in affected joint, joint swelling, headache, redness, intense pain"
Gout,"joint swelling, warmth in affected joint, intense pain, headache, redness"
Gout,"redness, intense pain, warmth in affected joint, headache, joint swelling"
Gout,"headache, redness, warmth in affected joint, intense pain, joint swelling"
Gout,"joint swelling, redness, headache, intense pain, warmth in affected joint"
Gout,"redness, intense pain, headache, warmth in affected joint, joint swelling"
Gout,"redness, warmth in affected joint, headache, intense pain, joint swelling"
Gout,"redness, headache, joint swelling, warmth in affected joint, intense pain"
Graves' Disease,"hair thinning, anxiety, insomnia, brittle nails, bulging eyes"
Graves' Disease,"hair thinning, insomnia, brittle nails, anxiety, bulging eyes"
Graves' Disease,"anxiety, bulging eyes, brittle nails, insomnia, hair thinning"
Graves' Disease,"insomnia, anxiety, bulging eyes, brittle nails, hair thinning"
Graves' Disease,"insomnia, bulging eyes, hair thinning, brittle nails, anxiety"
Graves' Disease,"brittle nails, hair thinning, bulging eyes, insomnia, anxiety"
Graves' Disease,"brittle nails, anxiety, bulging eyes, insomnia, hair thinning"
Graves' Disease,"hair thinning, anxiety, brittle nails, insomnia, bulging eyes"
Graves' Disease,"brittle nails, bulging eyes, anxiety, insomnia, hair thinning"
Graves' Disease,"brittle nails, insomnia, bulging eyes, anxiety, hair thinning"
Guillain Barre Syndrome,"loss of reflexes, difficulty breathing, weakness, low blood pressure, coordination issues"
Guillain Barre Syndrome,"low blood pressure, loss of reflexes, coordination issues, weakness, difficulty breathing"
Guillain Barre Syndrome,"coordination issues, low blood pressure, weakness, loss of reflexes, difficulty breathing"
Guillain Barre Syndrome,"coordination issues, low blood pressure, weakness, difficulty breathing, loss of reflexes"
Guillain Barre Syndrome,"weakness, low blood pressure, loss of reflexes, coordination issues, difficulty breathing"
Guillain Barre Syndrome,"coordination issues, low blood pressure, difficulty breathing, loss of reflexes, weakness"
Guillain Barre Syndrome,"difficulty breathing, coordination issues, weakness, loss of reflexes, low blood pressure"
Guillain Barre Syndrome,"loss of reflexes, low blood pressure, coordination issues, difficulty breathing, weakness"
Guillain Barre Syndrome,"weakness, low blood pressure, difficulty breathing, loss of reflexes, coordination issues"
HIV/AIDS,"swollen lymph nodes, night sweats, mouth ulcers, weight loss, confusion"
HIV/AIDS,"swollen lymph nodes, mouth ulcers, night sweats, confusion, weight loss"
HIV/AIDS,"mouth ulcers, confusion, swollen lymph nodes, weight loss, night sweats"
HIV/AIDS,"confusion, weight loss, swollen lymph nodes, night sweats, mouth ulcers"
HIV/AIDS,"mouth ulcers, night sweats, confusion, swollen lymph nodes, weight loss"
HIV/AIDS,"swollen lymph nodes, weight loss, night sweats, mouth ulcers, confusion"
HIV/AIDS,"mouth ulcers, night sweats, weight loss, swollen lymph nodes, confusion"
HIV/AIDS,"weight loss, night sweats, confusion, swollen lymph nodes, mouth ulcers"
HIV/AIDS,"confusion, mouth ulcers, swollen lymph nodes, weight loss, night sweats"
HIV/AIDS,"confusion, swollen lymph nodes, night sweats, weight loss, mouth ulcers"
Hantavirus,"enlarged liver, chills, sweating, high fever, headache"
Hantavirus,"headache, high fever, sweating, enlarged liver, chills"
Hantavirus,"chills, headache, high fever, enlarged liver, sweating"
Hantavirus,"enlarged liver, sweating, headache, high fever, chills"
Hantavirus,"high fever, chills, sweating, headache, enlarged liver"
Hantavirus,"sweating, enlarged liver, chills, high fever, headache"
Hantavirus,"enlarged liver, high fever, sweating, chills, headache"
Hantavirus,"chills, high fever, headache, sweating, enlarged liver"
Hantavirus,"high fever, chills, headache, enlarged liver, sweating"
Hantavirus,"sweating, enlarged liver, headache, high fever, chills"
Heart attack,"breathlessness, sweating, vomiting, headache, chest pain"
Heart attack,"vomiting, sweating, chest pain, breathlessness, headache"
Heart attack,"headache, breathlessness, vomiting, chest pain, sweating"
Heart attack,"vomiting, sweating, breathlessness, chest pain, headache"
Heart attack,"sweating, chest pain, headache, breathlessness, vomiting"
Heart attack,"vomiting, breathlessness, headache, chest pain, sweating"
Heart attack,"breathlessness, chest pain, vomiting, sweating, headache"
Heart attack,"chest pain, vomiting, headache, breathlessness, sweating"
Heart attack,"headache, vomiting, chest pain, breathlessness, sweating"
Heart attack,"sweating, chest pain, headache, vomiting, breathlessness"
Hemochromatosis,"heart problems, depression, weakness, irregular heartbeat, frequent infections"
Hemochromatosis,"irregular heartbeat, frequent infections, depression, heart problems, weakness"
Hemochromatosis,"weakness, heart problems, frequent infections, depression, irregular heartbeat"
Hemochromatosis,"depression, irregular heartbeat, heart problems, weakness, frequent infections"
Hemochromatosis,"heart problems, frequent infections, irregular heartbeat, depression, weakness"
Hemochromatosis,"irregular heartbeat, weakness, heart problems, depression, frequent infections"
Hemochromatosis,"frequent infections, weakness, irregular heartbeat, depression, heart problems"
Hemochromatosis,"weakness, irregular heartbeat, depression, frequent infections, heart problems"
Hemochromatosis,"weakness, depression, frequent infections, heart problems, irregular heartbeat"
Hemochromatosis,"frequent infections, irregular heartbeat, weakness, heart problems, depression"
Hemophilia,"slow wound healing, cough, weakness, prolonged bleeding after cuts, frequent infections"
Hemophilia,"prolonged bleeding after cuts, weakness, slow wound healing, cough, frequent infections"
Hemophilia,"weakness, prolonged bleeding after cuts, cough, slow wound healing, frequent infections"
Hemophilia,"frequent infections, prolonged bleeding after cuts, slow wound healing, weakness, cough"
Hemophilia,"weakness, frequent infections, cough, slow wound healing, prolonged bleeding after cuts"
Hemophilia,"weakness, slow wound healing, cough, frequent infections, prolonged bleeding after cuts"
Hemophilia,"frequent infections, slow wound healing, prolonged bleeding after cuts, cough, weakness"
Hemophilia,"prolonged bleeding after cuts, slow wound healing, cough, weakness, frequent infections"
Hemophilia,"weakness, frequent infections, prolonged bleeding after cuts, cough, slow wound healing"
Hemophilia,"weakness, cough, prolonged bleeding after cuts, slow wound healing, frequent infections"
Hendra Virus,"respiratory distress, brain inflammation, fever, confusion, fatigue"
Hendra Virus,"fatigue, brain inflammation, fever, respiratory distress, confusion"
Hendra Virus,"confusion, brain inflammation, respiratory distress, fever, fatigue"
Hendra Virus,"fatigue, respiratory distress, fever, confusion, brain inflammation"
Hendra Virus,"fever, brain inflammation, respiratory distress, confusion, fatigue"
Hendra Virus,"fever, respiratory distress, confusion, fatigue, brain inflammation"
Hendra Virus,"brain inflammation, confusion, respiratory distress, fever, fatigue"
Hendra Virus,"respiratory distress, fatigue, brain inflammation, fever, confusion"
Hendra Virus,"respiratory distress, fever, fatigue, confusion, brain inflammation"
Hendra Virus,"brain inflammation, respiratory distress, fatigue, confusion, fever"
Hepatitis A,"jaundice, dark urine, loss of appetite, abdominal discomfort, vomiting"
Hepatitis A,"abdominal discomfort, loss of appetite, vomiting, dark urine, jaundice"
Hepatitis A,"abdominal discomfort, vomiting, jaundice, loss of appetite, dark urine"
Hepatitis A,"dark urine, loss of appetite, vomiting, jaundice, abdominal discomfort"
Hepatitis A,"dark urine, loss of appetite, jaundice, vomiting, abdominal discomfort"
Hepatitis A,"dark urine, vomiting, loss of appetite, jaundice, abdominal discomfort"
Hepatitis A,"jaundice, abdominal discomfort, loss of appetite, dark urine, vomiting"
Hepatitis A,"dark urine, vomiting, loss of appetite, abdominal discomfort, jaundice"
Hepatitis A,"dark urine, jaundice, vomiting, abdominal discomfort, loss of appetite"
Hepatitis A,"abdominal discomfort, dark urine, vomiting, jaundice, loss of appetite"
Hepatitis B,"dark urine, joint pain, yellowing skin, nausea, fatigue"
Hepatitis B,"nausea, fatigue, joint pain, yellowing skin, dark urine"
Hepatitis B,"fatigue, nausea, yellowing skin, dark urine, joint pain"
Hepatitis B,"yellowing skin, nausea, dark urine, fatigue, joint pain"
Hepatitis B,"nausea, yellowing skin, joint pain, fatigue, dark urine"
Hepatitis B,"fatigue, dark urine, joint pain, yellowing skin, nausea"
Hepatitis B,"nausea, joint pain, dark urine, fatigue, yellowing skin"
Hepatitis B,"fatigue, nausea, joint pain, yellowing skin, dark urine"
Hepatitis B,"nausea, joint pain, yellowing skin, fatigue, dark urine"
Hepatitis B,"joint pain, fatigue, yellowing skin, nausea, dark urine"
Hepatitis C,"jaundice, clay-colored stool, joint pain, easy bruising, loss of appetite"
Hepatitis C,"easy bruising, joint pain, jaundice, loss of appetite, clay-colored stool"
Hepatitis C,"clay-colored stool, jaundice, loss of appetite, easy bruising, joint pain"
Hepatitis C,"joint pain, loss of appetite, clay-colored stool, easy bruising, jaundice"
Hepatitis C,"easy bruising, jaundice, clay-colored stool, loss of appetite, joint pain"
Hepatitis C,"easy bruising, joint pain, clay-colored stool, loss of appetite, jaundice"
Hepatitis C,"clay-colored stool, joint pain, loss of appetite, easy bruising, jaundice"
Hepatitis C,"clay-colored stool, easy bruising, loss of appetite, jaundice, joint pain"
Hepatitis C,"clay-colored stool, joint pain, jaundice, easy bruising, loss of appetite"
Hepatitis C,"loss of appetite, clay-colored stool, joint pain, jaundice, easy bruising"
Hepatitis D,"fatigue, vomiting, dark urine, yellowish skin, joint pain"
Hepatitis D,"yellowish skin, fatigue, vomiting, joint pain, dark urine"
Hepatitis D,"yellowish skin, dark urine, vomiting, fatigue, joint pain"
Hepatitis D,"fatigue, joint pain, vomiting, yellowish skin, dark urine"
Hepatitis D,"vomiting, fatigue, joint pain, yellowish skin, dark urine"
Hepatitis D,"fatigue, dark urine, joint pain, vomiting, yellowish skin"
Hepatitis D,"dark urine, vomiting, joint pain, yellowish skin, fatigue"
Hepatitis D,"joint pain, dark urine, vomiting, yellowish skin, fatigue"
Hepatitis D,"vomiting, fatigue, joint pain, dark urine, yellowish skin"
Hepatitis D,"joint pain, fatigue, dark urine, vomiting, yellowish skin"
Hepatitis E,"facial pain, fever, night sweats, weight loss, fatigue"
Hepatitis E,"night sweats, facial pain, fever, fatigue, weight loss"
Hepatitis E,"fever, fatigue, night sweats, weight loss, facial pain"
Hepatitis E,"weight loss, night sweats, fatigue, fever, facial pain"
Hepatitis E,"fever, facial pain, night sweats, weight loss, fatigue"
Hepatitis E,"night sweats, weight loss, fatigue, facial pain, fever"
Hepatitis E,"night sweats, weight loss, fever, fatigue, facial pain"
Hepatitis E,"night sweats, fever, fatigue, weight loss, facial pain"
Hepatitis E,"facial pain, weight loss, fever, night sweats, fatigue"
Hepatitis E,"weight loss, fever, night sweats, fatigue, facial pain"
Herpes,"painful sores, tingling sensation, flu-like symptoms, swollen lymph nodes, fatigue"
Herpes,"tingling sensation, flu-like symptoms, fatigue, swollen lymph nodes, painful sores"
Herpes,"tingling sensation, fatigue, painful sores, swollen lymph nodes, flu-like symptoms"
Herpes,"tingling sensation, fatigue, flu-like symptoms, swollen lymph nodes, painful sores"
Herpes,"swollen lymph nodes, painful sores, tingling sensation, fatigue, flu-like symptoms"
Herpes,"flu-like symptoms, fatigue, painful sores, swollen lymph nodes, tingling sensation"
Herpes,"fatigue, painful sores, swollen lymph nodes, tingling sensation, flu-like symptoms"
Herpes,"swollen lymph nodes, flu-like symptoms, painful sores, tingling sensation, fatigue"
Herpes,"flu-like symptoms, painful sores, swollen lymph nodes, tingling sensation, fatigue"
Histoplasmosis,"chest pain, joint pain, cough, fever, headache"
Histoplasmosis,"cough, joint pain, chest pain, fever, headache"
Histoplasmosis,"joint pain, fever, cough, headache, chest pain"
Histoplasmosis,"headache, joint pain, chest pain, fever, cough"
Histoplasmosis,"chest pain, fever, headache, joint pain, cough"
Histoplasmosis,"cough, headache, chest pain, fever, joint pain"
Histoplasmosis,"fever, headache, chest pain, cough, joint pain"
Histoplasmosis,"fever, cough, chest pain, headache, joint pain"
Histoplasmosis,"joint pain, fever, cough, chest pain, headache"
Histoplasmosis,"joint pain, fever, headache, cough, chest pain"
Hodgkin's Lymphoma,"dry patches, anxiety, mucus production, wheezing, fatigue"
Hodgkin's Lymphoma,"mucus production, wheezing, anxiety, fatigue, dry patches"
Hodgkin's Lymphoma,"mucus production, wheezing, dry patches, anxiety, fatigue"
Hodgkin's Lymphoma,"mucus production, wheezing, dry patches, fatigue, anxiety"
Hodgkin's Lymphoma,"anxiety, wheezing, mucus production, fatigue, dry patches"
Hodgkin's Lymphoma,"wheezing, dry patches, mucus production, anxiety, fatigue"
Hodgkin's Lymphoma,"fatigue, dry patches, anxiety, mucus production, wheezing"
Hodgkin's Lymphoma,"fatigue, anxiety, wheezing, mucus production, dry patches"
Hodgkin's Lymphoma,"wheezing, anxiety, dry patches, mucus production, fatigue"
Hodgkin's Lymphoma,"dry patches, anxiety, wheezing, fatigue, mucus production"
Hookworm Infection,"itchy rash, cough, stomach pain, anemia, vomiting"
Hookworm Infection,"vomiting, itchy rash, cough, stomach pain, anemia"
Hookworm Infection,"vomiting, cough, stomach pain, anemia, itchy rash"
Hookworm Infection,"itchy rash, vomiting, cough, stomach pain, anemia"
Hookworm Infection,"stomach pain, vomiting, cough, anemia, itchy rash"
Hookworm Infection,"vomiting, itchy rash, stomach pain, anemia, cough"
Hookworm Infection,"stomach pain, cough, anemia, itchy rash, vomiting"
Hookworm Infection,"vomiting, anemia, cough, itchy rash, stomach pain"
Hookworm Infection,"anemia, cough, stomach pain, vomiting, itchy rash"
Hookworm Infection,"itchy rash, anemia, vomiting, stomach pain, cough"
Huntington's Disease,"depression, impulsive behavior, anxiety, involuntary movements, sleep disturbances"
Huntington's Disease,"involuntary movements, depression, impulsive behavior, sleep disturbances, anxiety"
Huntington's Disease,"anxiety, sleep disturbances, involuntary movements, impulsive behavior, depression"
Huntington's Disease,"sleep disturbances, impulsive behavior, anxiety, involuntary movements, depression"
Huntington's Disease,"sleep disturbances, involuntary movements, depression, impulsive behavior, anxiety"
Huntington's Disease,"sleep disturbances, depression, impulsive behavior, anxiety, involuntary movements"
Huntington's Disease,"impulsive behavior, sleep disturbances, depression, involuntary movements, anxiety"
Huntington's Disease,"depression, involuntary movements, impulsive behavior, anxiety, sleep disturbances"
Huntington's Disease,"sleep disturbances, anxiety, depression, involuntary movements, impulsive behavior"
Huntington's Disease,"impulsive behavior, anxiety, depression, sleep disturbances, involuntary movements"
Hyperglycemia,"increased thirst, frequent urination, blurred vision, fatigue, headache"
Hyperglycemia,"blurred vision, frequent urination, increased thirst, fatigue, headache"
Hyperglycemia,"increased thirst, fatigue, headache, frequent urination, blurred vision"
Hyperglycemia,"headache, fatigue, frequent urination, blurred vision, increased thirst"
Hyperglycemia,"blurred vision, fatigue, headache, frequent urination, increased thirst"
Hyperglycemia,"increased thirst, blurred vision, frequent urination, headache, fatigue"
Hyperglycemia,"frequent urination, fatigue, headache, increased thirst, blurred vision"
Hyperglycemia,"frequent urination, increased thirst, headache, fatigue, blurred vision"
Hyperglycemia,"increased thirst, headache, blurred vision, fatigue, frequent urination"
Hyperglycemia,"increased thirst, blurred vision, fatigue, frequent urination, headache"
Hypertension,"excessive salivation, chest pain, cough, shortness of breath, fatigue"
Hypertension,"fatigue, chest pain, cough, shortness of breath, excessive salivation"
Hypertension,"shortness of breath, excessive salivation, cough, chest pain, fatigue"
Hypertension,"excessive salivation, cough, fatigue, chest pain, shortness of breath"
Hypertension,"chest pain, excessive salivation, fatigue, shortness of breath, cough"
Hypertension,"fatigue, shortness of breath, cough, excessive salivation, chest pain"
Hypertension,"shortness of breath, fatigue, excessive salivation, chest pain, cough"
Hypertension,"excessive salivation, chest pain, fatigue, cough, shortness of breath"
Hypertension,"chest pain, fatigue, shortness of breath, cough, excessive salivation"
Hypertension,"excessive salivation, shortness of breath, chest pain, fatigue, cough"
Hyperthyroidism,"hair thinning, dehydration, weak muscles, insomnia, brittle nails"
Hyperthyroidism,"insomnia, brittle nails, weak muscles, dehydration, hair thinning"
Hyperthyroidism,"dehydration, hair thinning, brittle nails, weak muscles, insomnia"
Hyperthyroidism,"dehydration, brittle nails, hair thinning, weak muscles, insomnia"
Hyperthyroidism,"weak muscles, brittle nails, hair thinning, insomnia, dehydration"
Hyperthyroidism,"insomnia, weak muscles, brittle nails, dehydration, hair thinning"
Hyperthyroidism,"dehydration, hair thinning, weak muscles, brittle nails, insomnia"
Hyperthyroidism,"weak muscles, brittle nails, insomnia, dehydration, hair thinning"
Hyperthyroidism,"hair thinning, weak muscles, dehydration, insomnia, brittle nails"
Hyperthyroidism,"dehydration, weak muscles, hair thinning, brittle nails, insomnia"
Impetigo,"red sore around nose, high fever, blister, skin rash, yellow crust ooze"
Impetigo,"skin rash, high fever, blister, red sore around nose, yellow crust ooze"
Impetigo,"high fever, yellow crust ooze, skin rash, blister, red sore around nose"
Impetigo,"blister, skin rash, yellow crust ooze, red sore around nose, high fever"
Impetigo,"high fever, yellow crust ooze, blister, skin rash, red sore around nose"
Impetigo,"blister, high fever, skin rash, red sore around nose, yellow crust ooze"
Impetigo,"blister, high fever, red sore around nose, skin rash, yellow crust ooze"
Impetigo,"yellow crust ooze, blister, high fever, red sore around nose, skin rash"
Impetigo,"skin rash, high fever, red sore around nose, yellow crust ooze, blister"
Impetigo,"yellow crust ooze, blister, skin rash, red sore around nose, high fever"
Influenza,"anemia, chills, sweating, high fever, headache"
Influenza,"sweating, high fever, chills, headache, anemia"
Influenza,"sweating, headache, anemia, chills, high fever"
Influenza,"anemia, sweating, chills, headache, high fever"
